hotel,NoofRooms,NoofRoomsOccupied,OccupancyRate,AverageRoomRate,RoomRevenue,FBRevenue,RoomDep,FBDep,AdmDep,OtherDep,Month,location
GrandHiLaiHotelKaohsiung,540,10044,0.6,3145,31588126,68874593,177,424,8,150,2013-01-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7723,0.9193,1796,13872e3,2286e4,83,132,36,26,2013-01-01,Kaohsiung
85SkyTowerHotel,585,8737,0.4818,2600,22720349,41781517,155,234,150,0,2013-01-01,Kaohsiung
HanHsienInternational,380,6963,0.5911,2098,14607713,27939850,111,135,40,24,2013-01-01,Kaohsiung
LeesHotelKaohsiung,198,4703,0.7662,2152,10119900,17262168,54,106,20,22,2013-01-01,Kaohsiung
FullonHotelKaohsiung,250,2492,0.3215,2150,5357019,3490073,43,47,4,11,2013-01-01,Kaohsiung
HotelKingdom,297,5289,0.636,2403,12711949,9426859,51,54,48,0,2013-02-01,Kaohsiung
HolidayGardenHotel,269,3091,0.4104,3689,11403562,4328099,43,44,28,0,2013-02-01,Kaohsiung
AmbassadorHotelKaohsiung,453,7636,0.602,3202,24451556,33586983,134,168,19,37,2013-02-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,9726,0.6433,4283,41656013,65971221,182,420,8,151,2013-02-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,5996,0.7902,2719,16302e3,15968e3,78,121,34,26,2013-02-01,Kaohsiung
85SkyTowerHotel,585,9359,0.5714,3855,36077464,32502194,158,242,149,0,2013-02-01,Kaohsiung
HanHsienInternational,380,6031,0.5668,3124,18843170,20666152,110,132,40,23,2013-02-01,Kaohsiung
LeesHotelKaohsiung,198,3870,0.6981,3626,14032620,14711138,54,106,20,22,2013-02-01,Kaohsiung
FullonHotelKaohsiung,250,3605,0.515,3429,12362012,5186627,43,45,4,10,2013-02-01,Kaohsiung
HotelKingdom,297,6280,0.6821,1610,10108029,7305758,52,52,48,3,2013-03-01,Kaohsiung
HolidayGardenHotel,269,2983,0.3577,2101,6267348,9553054,40,43,28,0,2013-03-01,Kaohsiung
AmbassadorHotelKaohsiung,453,9470,0.6744,2208,20912094,34812026,134,167,19,37,2013-03-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12236,0.7309,3134,38350714,67386644,183,415,8,155,2013-03-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7231,0.8607,1974,14277e3,22875e3,86,134,34,25,2013-03-01,Kaohsiung
85SkyTowerHotel,585,11711,0.6458,2741,32104217,40742048,155,240,138,0,2013-03-01,Kaohsiung
HanHsienInternational,380,7466,0.6338,2133,15921364,29844306,110,129,32,30,2013-03-01,Kaohsiung
LeesHotelKaohsiung,198,4205,0.6851,2234,9393970,17575383,53,103,20,22,2013-03-01,Kaohsiung
FullonHotelKaohsiung,250,3914,0.505,2175,8511155,3883177,47,43,9,4,2013-03-01,Kaohsiung
HotelKingdom,297,5701,0.6398,1634,9318228,6480917,52,52,50,3,2013-04-01,Kaohsiung
HolidayGardenHotel,269,3898,0.483,2216,8639198,5182248,40,43,26,0,2013-04-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10051,0.7396,2142,21529022,23498867,136,159,19,38,2013-04-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11437,0.706,3209,36702135,52475969,177,407,8,159,2013-04-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7288,0.8964,1890,13774e3,13668e3,83,123,34,23,2013-04-01,Kaohsiung
85SkyTowerHotel,585,11324,0.6452,2609,29545645,27338517,155,239,140,0,2013-04-01,Kaohsiung
HanHsienInternational,380,8334,0.7311,2047,17062557,20345442,114,130,34,30,2013-04-01,Kaohsiung
LeesHotelKaohsiung,198,4258,0.7168,2292,9759336,12507465,53,105,20,22,2013-04-01,Kaohsiung
FullonHotelKaohsiung,250,4133,0.5511,2172,8976409,4739868,39,44,9,4,2013-04-01,Kaohsiung
HotelKingdom,297,4783,0.5195,1472,7040015,7670553,52,50,51,3,2013-05-01,Kaohsiung
HolidayGardenHotel,269,3303,0.3961,2124,7015984,6801936,39,42,27,0,2013-05-01,Kaohsiung
AmbassadorHotelKaohsiung,453,9466,0.6741,2087,19756471,23233542,137,160,19,38,2013-05-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11265,0.6729,3070,34588696,61028242,181,399,8,160,2013-05-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,6804,0.8099,1892,12875e3,13038e3,85,119,34,22,2013-05-01,Kaohsiung
85SkyTowerHotel,585,10367,0.5717,2741,28416995,29105004,155,241,144,0,2013-05-01,Kaohsiung
HanHsienInternational,380,7803,0.6624,1983,15475317,19556386,113,131,34,30,2013-05-01,Kaohsiung
LeesHotelKaohsiung,198,4221,0.6877,2331,9839151,18760857,52,110,22,24,2013-05-01,Kaohsiung
FullonHotelKaohsiung,250,3977,0.5132,2043,8124325,5016176,40,45,9,4,2013-05-01,Kaohsiung
HotelKingdom,297,4029,0.4522,1529,6160318,5870162,50,52,50,3,2013-06-01,Kaohsiung
HolidayGardenHotel,269,3580,0.4436,2126,7612814,4050776,39,42,27,0,2013-06-01,Kaohsiung
AmbassadorHotelKaohsiung,453,9633,0.7088,2135,20570878,27778779,125,153,20,36,2013-06-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11267,0.6955,3142,35401284,61083342,188,399,8,160,2013-06-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7372,0.9068,1900,14007e3,13902e3,80,121,30,26,2013-06-01,Kaohsiung
85SkyTowerHotel,585,10521,0.5995,2689,28290357,30528759,144,245,157,0,2013-06-01,Kaohsiung
HanHsienInternational,380,8069,0.7078,2068,16686837,18889630,113,126,34,29,2013-06-01,Kaohsiung
LeesHotelKaohsiung,198,4162,0.7007,2250,9364500,15006227,53,105,22,24,2013-06-01,Kaohsiung
FullonHotelKaohsiung,250,3889,0.5185,2295,8923485,4797257,37,43,8,4,2013-06-01,Kaohsiung
HotelKingdom,297,4466,0.4851,1636,7304226,5673902,54,53,47,3,2013-07-01,Kaohsiung
HolidayGardenHotel,269,4709,0.5647,2304,10850739,5507125,41,41,30,0,2013-07-01,Kaohsiung
AmbassadorHotelKaohsiung,453,9519,0.6778,2192,20869199,25348893,138,178,19,37,2013-07-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11399,0.6809,3256,37109594,59954142,195,418,7,160,2013-07-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,8068,0.9604,1951,15738e3,12661e3,87,125,31,23,2013-07-01,Kaohsiung
85SkyTowerHotel,585,11794,0.6503,2763,32591705,30002098,157,245,144,0,2013-07-01,Kaohsiung
HanHsienInternational,380,7957,0.6755,2044,16264753,19246525,116,133,33,31,2013-07-01,Kaohsiung
LeesHotelKaohsiung,198,3957,0.6447,2208,8738016,14586776,53,105,20,22,2013-07-01,Kaohsiung
FullonHotelKaohsiung,250,4056,0.5234,2433,9868797,4800268,39,44,8,4,2013-07-01,Kaohsiung
HotelKingdom,297,4825,0.5241,1673,8074492,5473837,54,53,41,3,2013-08-01,Kaohsiung
HolidayGardenHotel,269,4011,0.481,2326,9328317,2173573,38,42,31,0,2013-08-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10488,0.7468,2236,23450949,24547245,137,175,19,37,2013-08-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11697,0.6987,3348,39156150,61304901,185,400,7,167,2013-08-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7656,0.9113,2086,15967e3,14239e3,90,134,31,23,2013-08-01,Kaohsiung
85SkyTowerHotel,585,12491,0.6888,2734,34144585,26069818,134,213,140,53,2013-08-01,Kaohsiung
HanHsienInternational,380,7938,0.6739,2072,16450089,14413634,114,131,34,30,2013-08-01,Kaohsiung
LeesHotelKaohsiung,198,4076,0.6641,2339,9533764,12274896,53,105,20,22,2013-08-01,Kaohsiung
FullonHotelKaohsiung,250,5268,0.6797,2447,12893401,5156716,37,42,8,4,2013-08-01,Kaohsiung
HotelKingdom,297,4825,0.5415,1722,8310749,7831612,53,41,41,3,2013-09-01,Kaohsiung
HolidayGardenHotel,269,3538,0.4384,2612,9240354,5305090,40,41,30,0,2013-09-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10215,0.7517,2167,22140827,40331017,137,174,15,41,2013-09-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12030,0.7426,3218,38718425,66358868,181,409,7,167,2013-09-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7491,0.9214,1942,14548e3,19787e3,91,124,31,22,2013-09-01,Kaohsiung
85SkyTowerHotel,585,11887,0.6773,2769,32911043,30058066,133,209,144,53,2013-09-01,Kaohsiung
HanHsienInternational,380,8322,0.73,2078,17294013,26905926,113,126,34,29,2013-09-01,Kaohsiung
LeesHotelKaohsiung,198,4068,0.6848,2348,9551693,18201941,45,112,20,21,2013-09-01,Kaohsiung
FullonHotelKaohsiung,250,4440,0.592,2164,9606415,4602980,38,42,8,4,2013-09-01,Kaohsiung
HotelKingdom,297,4992,0.5422,1752,8745651,6814736,53,41,41,3,2013-10-01,Kaohsiung
HolidayGardenHotel,269,3979,0.4772,2388,9502424,4196913,42,42,30,0,2013-10-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11265,0.8022,2159,24326355,29279148,132,174,16,44,2013-10-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,14023,0.8377,3228,45262604,63472463,183,400,8,166,2013-10-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7641,0.9095,2070,1582e4,17951e3,92,135,32,22,2013-10-01,Kaohsiung
85SkyTowerHotel,585,12723,0.7016,2783,35406725,33920038,132,221,144,55,2013-10-01,Kaohsiung
HanHsienInternational,380,9020,0.7657,2026,18270902,20442782,115,132,34,29,2013-10-01,Kaohsiung
LeesHotelKaohsiung,198,4438,0.723,2212,9816856,14719012,45,112,20,21,2013-10-01,Kaohsiung
FullonHotelKaohsiung,250,4754,0.6134,2347,11159427,4824721,40,42,8,4,2013-10-01,Kaohsiung
HotelKingdom,297,5572,0.6254,1703,9489774,8100924,51,46,41,3,2013-11-01,Kaohsiung
HolidayGardenHotel,269,3399,0.4212,2241,7618086,8297581,42,42,30,0,2013-11-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10612,0.7809,2168,23010733,33047386,133,174,16,44,2013-11-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13903,0.8582,3089,42947549,69523533,183,400,8,166,2013-11-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7554,0.9292,2114,15971e3,22137e3,92,130,31,22,2013-11-01,Kaohsiung
85SkyTowerHotel,585,12050,0.6866,2747,33106773,37997433,127,215,148,55,2013-11-01,Kaohsiung
HanHsienInternational,380,9801,0.8597,1958,19186887,28800109,114,131,34,29,2013-11-01,Kaohsiung
LeesHotelKaohsiung,198,4860,0.8182,2258,10973880,18714670,52,105,20,21,2013-11-01,Kaohsiung
FullonHotelKaohsiung,250,3850,0.5133,2107,8110303,5526910,41,44,8,4,2013-11-01,Kaohsiung
HotelKingdom,297,5110,0.555,1777,9081891,7393006,53,46,41,3,2013-12-01,Kaohsiung
HolidayGardenHotel,269,3260,0.3909,2464,8033715,7369737,40,42,30,0,2013-12-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10989,0.7825,2163,23767337,37912132,135,170,16,44,2013-12-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13581,0.8113,3091,41978494,73892800,183,407,7,171,2013-12-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7370,0.8773,2151,15856e3,24231e3,94,146,32,22,2013-12-01,Kaohsiung
85SkyTowerHotel,585,12445,0.6862,2858,35562577,34994151,129,218,152,53,2013-12-01,Kaohsiung
HanHsienInternational,380,8804,0.7474,2026,17839005,26474124,115,130,33,30,2013-12-01,Kaohsiung
LeesHotelKaohsiung,198,5148,0.8387,2121,10918908,23451101,52,105,20,21,2013-12-01,Kaohsiung
FullonHotelKaohsiung,250,4358,0.5623,2296,10007758,5133750,42,43,8,4,2013-12-01,Kaohsiung
HotelKingdom,297,3909,0.4246,1810,7074865,8184094,47,46,41,3,2014-01-01,Kaohsiung
HolidayGardenHotel,269,3260,0.3909,1769,5768310,9720410,42,44,30,0,2014-01-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10802,0.7692,2266,24476165,47789928,136,183,16,44,2014-01-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13071,0.7808,2995,39142388,87769966,191,420,8,170,2014-01-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7963,0.9479,1962,15627e3,32254e3,103,160,32,23,2014-01-01,Kaohsiung
85SkyTowerHotel,585,11731,0.6469,2679,31431294,46511187,133,227,152,57,2014-01-01,Kaohsiung
HanHsienInternational,380,8230,0.6986,2229,18344627,36981889,114,129,34,31,2014-01-01,Kaohsiung
LeesHotelKaohsiung,198,4982,0.8117,2584,12873488,23071889,54,106,20,22,2014-01-01,Kaohsiung
FullonHotelKaohsiung,250,3298,0.4255,2539,8372909,5322398,43,39,8,4,2014-01-01,Kaohsiung
HotelKingdom,297,5303,0.6377,2060,10922539,5062786,47,43,39,3,2014-02-01,Kaohsiung
HolidayGardenHotel,269,5140,0.6824,2261,11623063,5600908,42,43,33,0,2014-02-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11267,0.8883,2437,27461105,36738310,135,172,16,43,2014-02-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12956,0.8569,3440,44571970,63008627,180,416,8,172,2014-02-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,6756,0.8904,2502,16902e3,15819e3,87,118,31,23,2014-02-01,Kaohsiung
85SkyTowerHotel,585,12076,0.7372,3047,36794001,30710979,135,236,158,56,2014-02-01,Kaohsiung
HanHsienInternational,380,8882,0.8348,2415,21448939,23218387,114,130,34,31,2014-02-01,Kaohsiung
LeesHotelKaohsiung,198,4702,0.8481,2359,11092018,17189704,54,104,20,22,2014-02-01,Kaohsiung
FullonHotelKaohsiung,250,3895,0.5564,2993,11657554,4429904,44,38,8,4,2014-02-01,Kaohsiung
HotelKingdom,297,5682,0.6171,1612,9161176,5094046,43,34,32,2,2014-03-01,Kaohsiung
HolidayGardenHotel,269,4245,0.5091,2877,12212350,7019289,40,41,35,0,2014-03-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11667,0.8308,2160,25196896,38845749,134,173,16,43,2014-03-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12613,0.7535,3108,39199840,61808815,187,412,7,171,2014-03-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7384,0.8789,2079,15353e3,17474e3,94,124,32,23,2014-03-01,Kaohsiung
85SkyTowerHotel,585,12168,0.671,2457,29900349,24976264,124,244,155,62,2014-03-01,Kaohsiung
HanHsienInternational,380,8925,0.7576,2036,18173444,24312567,114,128,35,30,2014-03-01,Kaohsiung
LeesHotelKaohsiung,198,5020,0.8179,2254,11315080,18548145,54,104,20,22,2014-03-01,Kaohsiung
FullonHotelKaohsiung,250,3883,0.501,2091,8120157,3961428,47,40,8,4,2014-03-01,Kaohsiung
HotelKingdom,297,5538,0.6215,1534,8493281,5506899,43,37,36,2,2014-04-01,Kaohsiung
HolidayGardenHotel,269,4135,0.5124,2365,9779227,5941220,49,42,32,0,2014-04-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10095,0.7428,2154,21740065,25279038,134,172,15,43,2014-04-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12353,0.7625,3311,40906040,52484192,186,411,8,174,2014-04-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7777,0.9566,1968,15303e3,15161e3,94,123,33,23,2014-04-01,Kaohsiung
85SkyTowerHotel,585,13485,0.7684,2580,34796378,30535190,118,254,159,51,2014-04-01,Kaohsiung
HanHsienInternational,380,8872,0.7782,2012,17851632,20715794,114,128,35,30,2014-04-01,Kaohsiung
LeesHotelKaohsiung,198,4405,0.7416,2114,9312170,16621063,54,104,20,22,2014-04-01,Kaohsiung
FullonHotelKaohsiung,250,4614,0.6152,2129,9823363,4516920,45,42,8,3,2014-04-01,Kaohsiung
HotelKingdom,297,5375,0.5838,1630,8759390,6417183,43,37,34,2,2014-05-01,Kaohsiung
HolidayGardenHotel,269,4949,0.5935,2062,10205016,7618207,47,43,32,0,2014-05-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10826,0.7709,2117,22922370,35457680,133,179,15,43,2014-05-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13699,0.8183,3377,46264295,65990543,184,414,7,178,2014-05-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,8106,0.9649,1900,15401e3,18597e3,94,125,32,22,2014-05-01,Kaohsiung
85SkyTowerHotel,585,14146,0.78,2548,36050591,40129762,131,254,154,50,2014-05-01,Kaohsiung
HanHsienInternational,380,8894,0.755,2082,18515418,24295307,112,130,35,29,2014-05-01,Kaohsiung
LeesHotelKaohsiung,198,4562,0.7432,2208,10074943,18702870,54,104,20,22,2014-05-01,Kaohsiung
FullonHotelKaohsiung,250,4718,0.6088,2204,10399789,5234118,47,42,8,3,2014-05-01,Kaohsiung
HotelKingdom,298,3848,0.4304,1664,6401574,4083923,46,39,38,2,2014-06-01,Kaohsiung
HolidayGardenHotel,269,4296,0.5323,2416,10377522,7462151,47,49,32,0,2014-06-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10023,0.7375,2078,20832455,35115097,122,163,16,43,2014-06-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,11726,0.7238,3052,35791904,64630379,180,407,8,177,2014-06-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7868,0.9678,1930,15188e3,1814e4,89,127,32,22,2014-06-01,Kaohsiung
85SkyTowerHotel,585,12297,0.7007,2603,32010714,39637963,130,260,154,45,2014-06-01,Kaohsiung
HanHsienInternational,380,8897,0.7804,2066,18385219,24377060,110,128,35,29,2014-06-01,Kaohsiung
LeesHotelKaohsiung,198,4659,0.7843,2220,10342980,16794394,54,104,20,22,2014-06-01,Kaohsiung
FullonHotelKaohsiung,250,4322,0.5763,2222,9605130,4444511,47,41,8,4,2014-06-01,Kaohsiung
HotelKingdom,297,4577,0.4971,1688,7723887,3277852,52,40,43,2,2014-07-01,Kaohsiung
HolidayGardenHotel,269,4790,0.5744,2098,10049326,4910846,54,54,34,0,2014-07-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10592,0.7543,2139,22656582,28362035,135,177,16,42,2014-07-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13049,0.7795,3271,42682731,60085949,193,439,9,161,2014-07-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7648,0.9104,2308,1765e4,15973e3,94,122,33,21,2014-07-01,Kaohsiung
85SkyTowerHotel,585,14028,0.7735,2647,37139092,32426149,139,268,156,47,2014-07-01,Kaohsiung
HanHsienInternational,380,8797,0.7468,2197,19323618,21270009,113,132,35,30,2014-07-01,Kaohsiung
LeesHotelKaohsiung,198,5122,0.8345,2029,10394110,16369412,54,104,20,22,2014-07-01,Kaohsiung
FullonHotelKaohsiung,250,5090,0.6568,2458,12509029,4800588,46,41,9,4,2014-07-01,Kaohsiung
HotelKingdom,297,3674,0.399,1593,5854329,3249008,54,40,40,2,2014-08-01,Kaohsiung
HolidayGardenHotel,269,4213,0.5052,2210,9311870,3394845,55,56,32,0,2014-08-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10123,0.7209,2079,21042932,31640874,123,173,16,54,2014-08-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,10184,0.6084,3190,32491739,53409466,174,400,131,72,2014-08-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7860,0.9356,1976,15529e3,14088e3,94,128,33,20,2014-08-01,Kaohsiung
85SkyTowerHotel,585,12074,0.6658,2390,28852149,26948972,142,268,157,48,2014-08-01,Kaohsiung
HanHsienInternational,380,7614,0.6463,2091,15920393,14991373,115,132,35,30,2014-08-01,Kaohsiung
LeesHotelKaohsiung,198,4836,0.7879,2186,10569770,13745035,60,108,20,22,2014-08-01,Kaohsiung
FullonHotelKaohsiung,250,3758,0.4849,2477,9306858,3870718,41,39,9,4,2014-08-01,Kaohsiung
HotelKingdom,297,3896,0.4373,1528,5953950,2836203,46,43,43,2,2014-09-01,Kaohsiung
HolidayGardenHotel,269,3722,0.4612,1862,6929648,6758753,56,55,34,0,2014-09-01,Kaohsiung
AmbassadorHotelKaohsiung,453,9214,0.678,2083,19193392,34251574,121,170,17,52,2014-09-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,10217,0.6307,3082,31489128,58225017,179,430,9,169,2014-09-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,6536,0.8039,1946,12718e3,1737e4,91,131,33,20,2014-09-01,Kaohsiung
85SkyTowerHotel,585,11557,0.6585,2425,28025564,32259456,146,265,168,47,2014-09-01,Kaohsiung
HanHsienInternational,380,7774,0.6819,2058,15995623,26212994,115,134,34,30,2014-09-01,Kaohsiung
LeesHotelKaohsiung,198,4472,0.7529,2213,9895316,21484875,60,108,20,22,2014-09-01,Kaohsiung
FullonHotelKaohsiung,250,3078,0.4104,2201,6775551,3619550,42,39,9,4,2014-09-01,Kaohsiung
HotelKingdom,297,5095,0.5534,1601,8157775,4027511,45,37,44,2,2014-10-01,Kaohsiung
HolidayGardenHotel,269,4511,0.541,2225,10038564,6356450,54,52,34,0,2014-10-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10503,0.7479,2088,21926416,29724687,121,171,17,55,2014-10-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,13096,0.7823,3108,40697469,59514504,175,443,9,156,2014-10-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7885,0.9386,1985,15649e3,15268e3,96,137,32,20,2014-10-01,Kaohsiung
85SkyTowerHotel,585,12953,0.7143,2512,32538027,32838378,151,233,185,49,2014-10-01,Kaohsiung
HanHsienInternational,380,8416,0.7144,2098,17657976,18461397,111,135,35,31,2014-10-01,Kaohsiung
LeesHotelKaohsiung,198,4965,0.8089,2135,10598145,15807378,60,108,20,22,2014-10-01,Kaohsiung
FullonHotelKaohsiung,250,4407,0.5686,2302,10142934,5384751,42,40,4,8,2014-10-01,Kaohsiung
HotelKingdom,297,4711,0.5287,1443,6795638,2858960,46,38,44,2,2014-11-01,Kaohsiung
HolidayGardenHotel,269,4883,0.6051,1970,9619751,6995107,53,54,34,0,2014-11-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10864,0.7994,2086,22661597,36803842,151,173,17,43,2014-11-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12693,0.7835,3054,38764315,64178521,174,413,8,176,2014-11-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7472,0.9191,1901,14207e3,19257e3,96,135,33,20,2014-11-01,Kaohsiung
85SkyTowerHotel,585,13973,0.7962,2471,34522089,38837996,149,230,184,50,2014-11-01,Kaohsiung
HanHsienInternational,380,7724,0.6775,2068,15976440,22075366,112,134,35,32,2014-11-01,Kaohsiung
LeesHotelKaohsiung,198,4947,0.8328,2175,10757824,21036858,60,108,20,22,2014-11-01,Kaohsiung
FullonHotelKaohsiung,250,3896,0.5195,2080,8103265,4366057,42,40,4,8,2014-11-01,Kaohsiung
HotelKingdom,297,5323,0.5781,1593,8477591,4343245,43,36,43,2,2014-12-01,Kaohsiung
HolidayGardenHotel,269,5811,0.6968,1802,10470379,9220438,43,50,42,0,2014-12-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11143,0.7935,2163,24098723,38897509,150,170,17,42,2014-12-01,Kaohsiung
GrandHiLaiHotelKaohsiung,540,12240,0.7312,3209,39281467,72382233,181,403,8,201,2014-12-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7985,0.9505,1958,15635e3,20995e3,96,133,33,20,2014-12-01,Kaohsiung
85SkyTowerHotel,585,13615,0.7508,2582,35156721,42168809,149,226,184,49,2014-12-01,Kaohsiung
HanHsienInternational,380,8775,0.7449,2271,19930651,28244144,113,131,35,31,2014-12-01,Kaohsiung
LeesHotelKaohsiung,198,5028,0.8192,2249,11309104,19809353,60,108,20,22,2014-12-01,Kaohsiung
FullonHotelKaohsiung,250,4346,0.5608,2231,9694663,5492894,40,42,4,8,2014-12-01,Kaohsiung
HotelKingdom,297,3680,0.3997,1824,6712934,4976129,41,37,40,2,2015-01-01,Kaohsiung
HolidayGardenHotel,269,3957,0.4745,2173,8600098,7851759,43,49,40,0,2015-01-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11130,0.7926,2219,24700959,41955216,151,179,17,44,2015-01-01,Kaohsiung
GrandHiLaiHotelKaohsiung,436,10254,0.7587,3643,37353501,74420149,186,420,8,175,2015-01-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7589,0.9033,2017,1531e4,26409e3,94,129,33,20,2015-01-01,Kaohsiung
85SkyTowerHotel,585,12224,0.6741,2430,29699061,46821066,147,220,183,47,2015-01-01,Kaohsiung
HanHsienInternational,380,7651,0.6495,2221,16995250,29081428,112,131,36,32,2015-01-01,Kaohsiung
LeesHotelKaohsiung,198,4717,0.7685,2191,10336739,24503556,64,110,33,10,2015-01-01,Kaohsiung
FullonHotelKaohsiung,250,3429,0.4425,2436,8352872,5255210,37,36,4,8,2015-01-01,Kaohsiung
HotelKingdom,297,3954,0.4755,2211,8742848,5143582,41,33,38,2,2015-02-01,Kaohsiung
HolidayGardenHotel,269,4780,0.6346,2165,10346325,6337909,38,48,40,0,2015-02-01,Kaohsiung
AmbassadorHotelKaohsiung,453,10203,0.8044,2606,26594052,42441058,151,179,17,44,2015-02-01,Kaohsiung
GrandHiLaiHotelKaohsiung,436,8966,0.7344,4221,37845008,79783954,182,412,8,180,2015-02-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,6782,0.8938,2591,17574e3,22885e3,89,126,33,20,2015-02-01,Kaohsiung
85SkyTowerHotel,585,9788,0.5976,3128,30615003,42468129,146,221,180,43,2015-02-01,Kaohsiung
HanHsienInternational,380,7074,0.6648,2689,19022006,28048643,116,134,36,31,2015-02-01,Kaohsiung
LeesHotelKaohsiung,198,4704,0.8485,2814,13238015,22771647,64,110,33,10,2015-02-01,Kaohsiung
FullonHotelKaohsiung,500,7840,0.56,2955,23163890,13888784,84,76,18,6,2015-02-01,Kaohsiung
HotelKingdom,297,4132,0.4488,1571,6491429,3375237,43,33,37,2,2015-03-01,Kaohsiung
HolidayGardenHotel,269,4813,0.5772,2483,11952371,8444953,41,45,40,0,2015-03-01,Kaohsiung
AmbassadorHotelKaohsiung,453,12211,0.8695,2161,26382357,39364381,147,174,17,44,2015-03-01,Kaohsiung
GrandHiLaiHotelKaohsiung,436,10210,0.7554,3473,35459925,67881633,178,422,8,181,2015-03-01,Kaohsiung
HowardPlazaHotelKaohsiung,271,7082,0.843,2016,14274e3,18274e3,94,128,33,20,2015-03-01,Kaohsiung
85SkyTowerHotel,585,9695,0.5346,2506,24297751,34231451,140,212,182,43,2015-03-01,Kaohsiung
HanHsienInternational,380,8122,0.6895,2090,16976520,25662664,114,129,37,31,2015-03-01,Kaohsiung
LeesHotelKaohsiung,198,4928,0.8029,2267,11171776,20998349,60,100,30,10,2015-03-01,Kaohsiung
FullonHotelKaohsiung,250,3557,0.459,2246,7989209,6438183,40,36,9,4,2015-03-01,Kaohsiung
HotelKingdom,297,4036,0.453,1624,6554496,2790571,43,32,41,2,2015-04-01,Kaohsiung
HolidayGardenHotel,269,3934,0.4875,2060,8103563,4138051,44,43,38,0,2015-04-01,Kaohsiung
AmbassadorHotelKaohsiung,453,11745,0.8642,2084,24481949,25741591,147,170,17,43,2015-04-01,Kaohsiung
GrandHiLaiHotelKaohsiung,436,9674,0.7396,3502,33877311,55889262,171,413,8,188,2015-04-01,Kaohsiung
